Year,Month,Day,tmax,tmin,prcp
2005,01,1,52,40,0.17
2005,01,2,52,43,0.90
2005,01,3,47,41,0
2005,01,4,51,40,0
2005,01,5,51,44,0.01
2005,01,6,53,40,0.01
2005,01,7,53,40,0.53
2005,01,8,54,43,0.81
2005,01,9,49,45,0.03
2005,01,10,55,43,0.51
2005,01,11,56,40,0.14
2005,01,12,52,38,0
2005,01,13,53,38,0
2005,01,14,47,38,0
2005,01,15,53,39,0
2005,01,16,52,40,0
2005,01,17,59,43,0
2005,01,18,60,41,0
2005,01,19,58,40,0
2005,01,20,56,41,0
2005,01,21,58,40,0
2005,01,22,52,38,0
2005,01,23,56,38,0
2005,01,24,56,41,0
2005,01,25,56,43,0.11
2005,01,26,57,51,0.36
2005,01,27,58,46,0.33
2005,01,28,59,48,0.42
2005,01,29,57,40,0
2005,01,30,56,40,0
2005,01,31,60,41,0
2005,02,1,62,46,0
2005,02,2,69,53,0
2005,02,3,67,45,0
2005,02,4,63,45,0
2005,02,5,63,46,0
2005,02,6,59,42,0.01
2005,02,7,59,49,0.11
2005,02,8,57,46,0
2005,02,9,55,43,0
2005,02,10,62,48,0
2005,02,11,65,47,0.02
2005,02,12,60,47,0
2005,02,13,61,49,0
2005,02,14,56,51,0.42
2005,02,15,57,49,1.14
2005,02,16,57,51,0.01
2005,02,17,61,53,0.17
2005,02,18,60,50,0.73
2005,02,19,65,51,0.48
2005,02,20,59,49,0.23
2005,02,21,60,51,0.25
2005,02,22,63,48,0
2005,02,23,65,49,0
2005,02,24,58,50,0
2005,02,25,55,50,0
2005,02,26,56,46,0.06
2005,02,27,60,51,0.75
2005,02,28,59,47,0.01
2005,03,1,63,46,0.40
2005,03,2,63,49,0.03
2005,03,3,61,45,0.19
2005,03,4,64,49,0.38
2005,03,5,58,46,0
2005,03,6,67,48,0
2005,03,7,70,50,0
2005,03,8,67,49,0
2005,03,9,71,51,0
2005,03,10,75,54,0
2005,03,11,77,57,0
2005,03,12,84,54,0
2005,03,13,60,53,0
2005,03,14,64,47,0
2005,03,15,72,48,0
2005,03,16,70,47,0
2005,03,17,66,50,0
2005,03,18,64,52,0.36
2005,03,19,58,52,0.43
2005,03,20,62,52,0
2005,03,21,65,51,0.65
2005,03,22,62,51,1.25
2005,03,23,55,47,0.10
2005,03,24,57,44,0
2005,03,25,62,41,0
2005,03,26,62,45,0
2005,03,27,64,47,0.60
2005,03,28,65,47,0.02
2005,03,29,61,47,0.38
2005,03,30,63,41,0
2005,03,31,67,45,0
2005,04,1,73,48,0
2005,04,2,71,50,0
2005,04,3,64,48,0.59
2005,04,4,60,42,0
2005,04,5,63,43,0
2005,04,6,73,48,0
2005,04,7,70,49,0.31
2005,04,8,58,46,0.64
2005,04,9,58,46,0
2005,04,10,67,47,0
2005,04,11,68,47,0
2005,04,12,65,42,0
2005,04,13,63,41,0
2005,04,14,62,42,0
2005,04,15,67,45,0
2005,04,16,71,49,0
2005,04,17,71,51,0
2005,04,18,68,45,0
2005,04,19,69,45,0
2005,04,20,69,48,0
2005,04,21,64,46,0
2005,04,22,73,51,0.23
2005,04,23,74,51,0
2005,04,24,61,50,0
2005,04,25,65,45,0
2005,04,26,66,47,0
2005,04,27,73,49,0.06
2005,04,28,65,50,0.34
2005,04,29,67,51,0
2005,04,30,67,49,0
2005,05,1,65,49,0
2005,05,2,70,49,0
2005,05,3,70,51,0
2005,05,4,68,55,0.40
2005,05,5,68,52,0.13
2005,05,6,65,53,0
2005,05,7,68,49,0
2005,05,8,68,53,0.61
2005,05,9,60,50,0.04
2005,05,10,64,46,0
2005,05,11,68,47,0
2005,05,12,70,50,0
2005,05,13,72,53,0
2005,05,14,73,53,0
2005,05,15,73,57,0
2005,05,16,70,55,0
2005,05,17,70,51,0
2005,05,18,65,55,0.41
2005,05,19,63,56,0.25
2005,05,20,65,50,0
2005,05,21,70,51,0
2005,05,22,78,53,0
2005,05,23,79,50,0
2005,05,24,79,51,0
2005,05,25,81,53,0
2005,05,26,70,53,0
2005,05,27,69,53,0
2005,05,28,68,53,0
2005,05,29,67,52,0
2005,05,30,71,53,0
2005,05,31,74,54,0
2005,06,1,80,54,0
2005,06,2,81,53,0
2005,06,3,79,52,0
2005,06,4,79,50,0
2005,06,5,76,50,0
2005,06,6,71,49,0
2005,06,7,70,46,0
2005,06,8,70,54,0.44
2005,06,9,60,56,0.14
2005,06,10,71,54,0
2005,06,11,76,53,0
2005,06,12,79,52,0
2005,06,13,79,53,0
2005,06,14,85,52,0
2005,06,15,83,50,0
2005,06,16,71,53,0.40
2005,06,17,67,53,0
2005,06,18,70,55,0.08
2005,06,19,70,53,0
2005,06,20,71,53,0
2005,06,21,72,53,0
2005,06,22,72,52,0
2005,06,23,76,55,0
2005,06,24,68,56,0
2005,06,25,71,56,0
2005,06,26,71,54,0
2005,06,27,70,54,0
2005,06,28,66,54,0
2005,06,29,71,52,0
2005,06,30,78,53,0
2005,07,1,73,53,0
2005,07,2,72,52,0
2005,07,3,70,52,0
2005,07,4,73,52,0
2005,07,5,74,52,0
2005,07,6,72,54,0
2005,07,7,83,53,0
2005,07,8,75,54,0
2005,07,9,74,56,0
2005,07,10,72,56,0
2005,07,11,77,56,0
2005,07,12,86,57,0
2005,07,13,83,54,0
2005,07,14,74,54,0
2005,07,15,77,52,0
2005,07,16,77,53,0
2005,07,17,80,54,0
2005,07,18,76,54,0
2005,07,19,75,58,0
2005,07,20,74,55,0
2005,07,21,74,55,0
2005,07,22,71,56,0
2005,07,23,77,55,0
2005,07,24,92,55,0
2005,07,25,74,53,0
2005,07,26,74,52,0
2005,07,27,73,53,0
2005,07,28,72,54,0
2005,07,29,72,54,0
2005,07,30,72,55,0
2005,07,31,74,54,0
2005,08,1,77,54,0
2005,08,2,76,52,0
2005,08,3,75,55,0
2005,08,4,73,54,0
2005,08,5,74,51,0
2005,08,6,77,52,0
2005,08,7,75,52,0
2005,08,8,72,54,0
2005,08,9,72,54,0
2005,08,10,74,54,0
2005,08,11,73,50,0
2005,08,12,77,52,0
2005,08,13,72,53,0
2005,08,14,66,53,0
2005,08,15,67,53,0
2005,08,16,65,55,0
2005,08,17,73,53,0
2005,08,18,69,54,0
2005,08,19,64,54,0
2005,08,20,68,52,0
2005,08,21,70,54,0
2005,08,22,72,52,0
2005,08,23,73,52,0
2005,08,24,70,50,0
2005,08,25,68,54,0
2005,08,26,73,52,0
2005,08,27,75,50,0
2005,08,28,80,50,0
2005,08,29,76,53,0
2005,08,30,84,55,0
2005,08,31,88,57,0
2005,09,1,88,55,0
2005,09,2,71,53,0
2005,09,3,71,53,0
2005,09,4,72,53,0
2005,09,5,71,52,0
2005,09,6,76,53,0
2005,09,7,70,53,0
2005,09,8,68,54,0
2005,09,9,68,56,0
2005,09,10,62,52,0
2005,09,11,73,53,0
2005,09,12,71,53,0
2005,09,13,65,51,0
2005,09,14,65,51,0
2005,09,15,67,51,0
2005,09,16,66,52,0
2005,09,17,70,52,0
2005,09,18,70,51,0
2005,09,19,74,48,0
2005,09,20,84,52,0
2005,09,21,64,53,0.01
2005,09,22,73,51,0
2005,09,23,71,52,0
2005,09,24,69,49,0
2005,09,25,76,48,0
2005,09,26,83,54,0
2005,09,27,71,54,0
2005,09,28,73,51,0
2005,09,29,83,51,0
2005,09,30,86,53,0
2005,10,1,86,56,0
2005,10,2,73,50,0
2005,10,3,72,47,0
2005,10,4,72,46,0
2005,10,5,72,50,0
2005,10,6,79,52,0
2005,10,7,77,50,0
2005,10,8,70,49,0
2005,10,9,73,48,0
2005,10,10,73,51,0
2005,10,11,78,51,0
2005,10,12,67,49,0
2005,10,13,73,49,0
2005,10,14,80,50,0.07
2005,10,15,64,50,0.15
2005,10,16,68,49,0
2005,10,17,78,55,0
2005,10,18,78,53,0
2005,10,19,67,57,0
2005,10,20,68,51,0
2005,10,21,68,49,0
2005,10,22,66,49,0
2005,10,23,64,51,0
2005,10,24,68,50,0
2005,10,25,63,52,0
2005,10,26,59,47,0.16
2005,10,27,63,52,0
2005,10,28,64,54,0.03
2005,10,29,71,53,0.04
2005,10,30,65,45,0
2005,10,31,69,47,0
