State                   pop2004    pop2003
Alabama                 4530182    4500752
Alaska                   655435     648818
Arizona                 5743834    5580811
Arkansas                2752629    2725714
California             35893799   35484453
Colorado                4601403    4550688
Connecticut             3503604    3483372
Delaware                 830364     817491
Florida                17397161   17019068
Georgia                 8829383    8684715
Hawaii                  1262840    1257608
Idaho                   1393262    1366332
Illinois               12713634   12653544
Indiana                 6237569    6195643
Iowa                    2954451    2944062
Kansas                  2735502    2723507
Kentucky                4145922    4117827
Louisiana               4515770    4496334
Maine                   1317253    1305728
Maryland                5558058    5508909
Massachusetts           6416505    6433422
Michigan               10112620   10079985
Minnesota               5100958    5059375
Mississippi             2902966    2881281
Missouri                5754618    5704484
Montana                  926865     917621
Nebraska                1747214    1739291
Nevada                  2334771    2241154
Ohio                   11459011   11435798
Oklahoma                3523553    3511532
Oregon                  3594586    3559596
Pennsylvania           12406292   12365455
Tennessee               5900962    5841748
Texas                  22490022   22118509
Utah                    2389039    2351467
Vermont                  621394     619107
Virginia                7459827    7386330
Washington              6203788    6131445
Wisconsin               5509026    5472299
Wyoming                  506529     501242
