country,gdp,income,literacy,military
Albania,4500,4937,98.7,56500000
Algeria,5900,6799,69.8,2.48e+09
Angola,1900,2457,66.8,183580000
Argentina,11200,12468,97.2,4.3e+09
Armenia,3900,3806,99.4,1.35e+08
Australia,28900,29893,99.9,1.665e+10
Austria,30000,31254,99.9,1.497e+09
Azerbaijan,3400,3968,98.8,1.21e+08
Bahrain,17100,18817,87.7,628900000
Bangladesh,1900,1875,41.1,995300000
Belarus,6000,6646,99.6,176100000
Belgium,29000,29707,99.9,3.999e+09
Belize,4900,7339,76.9,1.8e+07
Benin,1100,1094,33.6,96500000
Bhutan,1300,3095,47,13700000
Bolivia,2400,2710,86.5,132200000
Bosnia and Herzegovina,6100,5504,94.6,234300000
Botswana,8800,10169,78.9,338500000
Brazil,7600,8049,88.4,1.1e+10
Brunei,18600,24143,92.7,290700000
Bulgaria,7600,8500,98.2,3.56e+08
Burkina Faso,1100,1258,12.8,64200000
Burundi,600,708,58.9,38700000
Cambodia,1700,2074,73.6,1.12e+08
Cameroon,1800,2176,67.9,221100000
Canada,29700,32921,99.9,10458269000
Cape Verde,1400,5858,75.7,14100000
Central African Republic,1200,1107,48.6,15500000
Chad,1200,1555,25.5,101300000
Chile,9900,10904,95.7,3.42e+09
China,5000,5642,90.9,6.749e+10
Colombia,6300,6962,94.2,3.3e+09
Comoros,700,1660,56.2,11600000
Costa Rica,9000,9887,95.8,64200000
Croatia,10700,11568,98.1,6.2e+08
Cuba,2800,NA,96.9,572300000
Cyprus,16000,19633,96.8,3.84e+08
Czech Republic,15700,18370,99.9,2.17e+09
Denmark,31200,33089,99.9,3271600000
Djibouti,1300,1878,65.5,28600000
Dominican Republic,6000,6767,87.7,1.8e+08
Ecuador,3300,4083,91,6.55e+08
Egypt,3900,4072,55.6,2.44e+09
El Salvador,4800,4379,79.7,1.57e+08
Equatorial Guinea,2700,33994,84.2,126200000
Eritrea,700,909,56.7,1.51e+08
Estonia,12300,15217,99.8,1.55e+08
Ethiopia,700,814,41.5,337100000
Fiji,5800,5997,92.9,3.6e+07
Finland,27300,29305,99.9,1.8e+09
France,27500,27738,99.9,4.5e+10
Gabon,5500,6922,71,184800000
Georgia,2500,2774,99.9,2.3e+07
Germany,27600,28988,99.9,3.5063e+10
Ghana,2200,2475,54.1,49200000
Greece,19900,20362,91,5.79e+09
Guatemala,4100,4009,69.1,201900000
Guinea,2100,1919,41,56700000
Guinea-Bissau,900,730,39.6,8900000
Guyana,4000,4575,96.5,6500000
Haiti,1600,1625,51.9,2.6e+07
Honduras,2600,2682,80,100600000
Hungary,13900,15546,99.3,1.08e+09
India,2900,3080,61,1.697e+10
Indonesia,3200,3703,87.9,1.3e+09
Iran,7000,7594,77,4.3e+09
Ireland,29800,37663,99.9,7e+08
Israel,19700,22077,96.9,9.11e+09
Italy,26800,27984,98.5,28182800000
Jamaica,3800,4327,87.6,31200000
Japan,28000,29906,99.9,4.5841e+10
Jordan,4300,4383,89.9,1.46e+09
Kazakhstan,7000,7418,99.5,221800000
Kenya,1000,1062,73.6,177100000
Kuwait,18100,16066,82.9,2584500000
Kyrgyzstan,1600,1934,98.7,19200000
Laos,1700,1921,68.7,10700000
Latvia,10100,11980,99.7,8.7e+07
Lebanon,4800,5930,86.5,540600000
