#phys = physicians/1000 population, un.date= date joined the UN
"country","cont","gdp","income","literacy","military","phys","un.date"
"Albania","EU",4500,4937,98.7,56500000,138.9292,1955-12-14
"Algeria","AF",5900,6799,69.8,2.48e+09,84.6,1962-10-08
"Angola","AF",1900,2457,66.8,183580000,7.7,1976-12-01
"Argentina","SA",11200,12468,97.2,4.3e+09,300.9469,1945-10-24
"Armenia","AS",3900,3806,99.4,1.35e+08,352.5857,1992-03-02
"Australia","OC",28900,29893,99.9,1.665e+10,249.13,1945-11-01
"Austria","EU",30000,31254,99.9,1.497e+09,324.285,1955-12-14
"Azerbaijan","AS",3400,3968,98.8,1.21e+08,353.562,1992-03-02
"Bahrain","AS",17100,18817,87.7,628900000,159.5701,1971-09-21
"Bangladesh","AS",1900,1875,41.1,995300000,23.0678,1974-09-17
"Belarus","EU",6000,6646,99.6,176100000,449.651,1945-10-24
"Belgium","EU",29000,29707,99.9,3.999e+09,418.3599,1945-12-27
"Belize",NA,4900,7339,76.9,1.8e+07,104.5019,1981-09-25
"Benin","AF",1100,1094,33.6,96500000,5.7591,1960-09-20
"Bhutan","AS",1300,3095,47,13700000,5.1405,1971-09-21
"Bolivia","SA",2400,2710,86.5,132200000,73.3371,1945-11-14
"Bosnia and Herzegovina","EU",6100,5504,94.6,234300000,133.8396,1992-05-22
"Botswana","AF",8800,10169,78.9,338500000,28.7644,1966-10-17
"Brazil","SA",7600,8049,88.4,1.1e+10,205.6482,1945-10-24
"Brunei","AS",18600,24143,92.7,290700000,100.5892,1984-09-21
"Bulgaria","EU",7600,8500,98.2,3.56e+08,338.4453,1955-12-14
"Burkina Faso","AF",1100,1258,12.8,64200000,3.9972,1960-09-20
"Burundi","AF",600,708,58.9,38700000,5.1544,1962-09-18
"Cambodia","AS",1700,2074,73.6,1.12e+08,15.5701,1955-12-14
"Cameroon","AF",1800,2176,67.9,221100000,7.4,1960-09-20
"Canada",NA,29700,32921,99.9,10458269000,209.474,1945-11-09
"Cape Verde","AF",1400,5858,75.7,14100000,17.1,1975-09-16
"Central African Republic","AF",1200,1107,48.6,15500000,3.5,1960-09-20
"Chad","AF",1200,1555,25.5,101300000,2.5301,1960-09-20
"Chile","SA",9900,10904,95.7,3.42e+09,109.1392,1945-10-24
"China","AS",5000,5642,90.9,6.749e+10,164.2473,1945-10-24
"Colombia","SA",6300,6962,94.2,3.3e+09,135.0007,1945-11-05
"Comoros","AF",700,1660,56.2,11600000,7.4,1975-11-12
"Costa,Rica",NA,9000,9887,95.8,64200000,171.8655,1945-11-02
"Croatia","EU",10700,11568,98.1,6.2e+08,237.3859,1992-05-22
"Cuba",NA,2800,.,96.9,572300000,590.6207,1945-10-24
"Cyprus","AS",16000,19633,96.8,3.84e+08,298.3144,1960-09-20
"Czech Republic","EU",15700,18370,99.9,2.17e+09,343.402,1993-01-19
"Denmark","EU",31200,33089,99.9,3271600000,366.2585,1945-10-24
"Djibouti","AF",1300,1878,65.5,28600000,13.2866,1977-09-20
"Dominican Republic",NA,6000,6767,87.7,1.8e+08,188,1945-10-24
"Ecuador","SA",3300,4083,91,6.55e+08,147.6256,1945-12-21
"Egypt","AF",3900,4072,55.6,2.44e+09,211.7838,1945-10-24
"El Salvador",NA,4800,4379,79.7,1.57e+08,127.3731,1945-10-24
"Equatorial Guinea","AF",2700,33994,84.2,126200000,24.6,1968-11-12
"Eritrea","AF",700,909,56.7,1.51e+08,3,1993-05-28
"Estonia","EU",12300,15217,99.8,1.55e+08,316.0346,1991-09-17
"Ethiopia","AF",700,814,41.5,337100000,2.8581,1945-11-13
"Fiji","OC",5800,5997,92.9,3.6e+07,33.6729,1970-10-13
"Finland","EU",27300,29305,99.9,1.8e+09,310.5497,1955-12-14
"France","EU",27500,27738,99.9,4.5e+10,329.0573,1945-10-24
"Gabon","AF",5500,6922,71,184800000,28.9375,1960-09-20
"Georgia","AS",2500,2774,99.9,2.3e+07,390.6598,1992-07-31
"Germany","EU",27600,28988,99.9,3.5063e+10,361.7447,1990-10-03
"Ghana","AF",2200,2475,54.1,49200000,9,1957-03-08
"Greece","EU",19900,20362,91,5.79e+09,439.7252,1945-10-25
"Guatemala",NA,4100,4009,69.1,201900000,89.6,1945-11-21
"Guinea","AF",2100,1919,41,56700000,9.4121,1958-12-12
"Guinea-Bissau","AF",900,730,39.6,8900000,16.6,1974-09-17
